Customer_Firstname,Customer_Lastname,Cust_Name,Gender_Code,Address1,City,State,Country_Code,Postal_Code,Postal_Code_Plus4,Address2,Email_Address,Phone_Number,Creditcard_Type,Locality,Salesman_Id,Nationality,National_Id,Creditcard_Number,Driver_License,Cust_Id,Order_Id,Order_Date,Order_Time,Freight_Charges,Order_Salesman,Order_Posted_Date,Order_Ship_Date,Age,Order_Value,Order Size (IF),Order Size (IFS),T_Type,Purchase_Touchpoint,Complete?,Purchase_Status,Order_Type,Generation,Baby Food,Diapers,Formula,Lotion,Baby Wash,Wipes,Fresh Fruits,Fresh Vegetables,Beer,Wine,Club Soda,Sports Drink,Chips,Popcorn,Oatmeal,Medicines,Canned Foods,Cigarettes,Cheese,Cleaning Products,Condiments,Frozen Foods,Kitchen Items,Meat,Office Supplies,Personal Care,Pet Supplies,Sea Food,Spices
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17976E+15,,10003,1106,00:00:00,00:29:06.200000,29.79,NC298 ,00:00:00,2016-07-27 00:00:00,27,134.24,Medium,Medium,complete,Phone,No,Frequent,MediumValue,GEN_Y,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.1518E+15,,10003,2948,00:00:00,00:13:54.600000,17.87,SW277 ,00:00:00,2016-03-27 00:00:00,27,53.4,Small,Small,abandoned,Phone,No,Frequent,MediumValue,GEN_Y,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17217E+15,,10003,3323,00:00:00,00:39:06.200000,31.88,NC160 ,00:00:00,2016-09-27 00:00:00,27,26.25,Small,Small,complete,Desktop,No,Frequent,LowValue,GEN_Y,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.15925E+15,,10003,7498,00:00:00,00:19:56.100000,18.45,SW409 ,00:00:00,2016-03-01 00:00:00,27,5.65,Small,Small,complete,Phone,No,Frequent,LowValue,GEN_Y,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.13943E+15,,10003,7973,00:00:00,00:07:36.400000,23.12,WE352 ,00:00:00,2016-01-04 00:00:00,27,44.43,Small,Small,complete,Phone,No,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen ,Perl ,Allen Perl ,Mr.,4707 Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.12184E+15,,10003,9107,00:00:00,00:07:36.400000,22.77,NW379 ,00:00:00,2016-01-03 00:00:00,27,24.18,Small,Small,complete,Phone,No,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony ,Whitney ,Anthony Whitney ,Mr.,518 Highland View Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,,WE349 ,IT,NXFXLA90D69D741G,4.46993E+15,,10007,7441,00:00:00,00:39:06.200000,11.05,SC130 ,00:00:00,2016-02-27 00:00:00,,65.8,Small,Small,complete,Desktop,No,FirstTime,HighValue,GEN_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
Thomas ,Owens ,Thomas Owens ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.66281E+15,,10015,627,00:47:25,00:47:25.400000,6.37,NC163 ,00:47:25,2016-05-08 00:00:00,60,40.34,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thomas ,Owens ,Thomas Owens ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.01665E+15,,10015,1209,00:00:00,00:43:54.600000,23.37,SW340 ,00:00:00,2016-02-27 00:00:00,60,18.81,Small,Small,cancelled,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas ,Owens ,Thomas Owens ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.56388E+15,,10015,1556,00:00:00,00:36:44.900000,19.81,NW310 ,00:00:00,2016-10-05 00:00:00,60,34.04,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
